media_type,post_url,likes,caption
video,https://www.instagram.com/p/DKP4ERDSObv/,87251,the future is glazed 🌟💫✨ we can’t wait to continue on this journey with you.
image,https://www.instagram.com/p/DKNEEUMxCOk/,61307,rhode necessities 🤍
video,https://www.instagram.com/p/DKKbmFLp6AR/,16847,"wake up with rhode 🧈🤍🫧 @cameliafarhoodi‘s morning routine with barrier butter. our multipurpose formula works on face and body for glowy, intensive moisture."
image,https://www.instagram.com/p/DKH2dtTJZPA/?img_index=1,146020,"long weekend essentials 🍧  pack rhode in your suitcase or beach bag for hydrated skin and a sun-flushed glow wherever you go. reach for pink, coral, and toasty blush + lip shades for warm days at the beach and golden hour evenings. don’t forget spf to protect your skin!  p.s. final hours to get a peptide lip treatment on us when you order any two rhode products or one set. ends may 27th at 9am PT 🍹"
image,https://www.instagram.com/p/DKFRydEJusb/?img_index=1,39354,"rhode dictionary: lip care ✨  the skin on your lips is one of the thinnest and most fragile areas on your body, so keeping it nourished is so important for a plump, healthy pout. each of our lip care essentials features high-performance ingredients to hydrate and replenish your lips with every application.  p.s. this long weekend, get a peptide lip treatment on us when you order any two rhode products or one set, through may 27th at 9am PT 🤍"
image,https://www.instagram.com/p/DKCunV8R5Kc/,72751,a sip of rhode summer 🍋
video,https://www.instagram.com/p/DKAIMqaJvOw/,41860,"soak, spritz, splash 🩵  to kick off the long summer weekend, get a peptide lip treatment on us. stock up on any two rhode products or one set and receive a lip treat in a scent of your choice, through may 27th at 9am PT"
image,https://www.instagram.com/p/DJ9lqzOJHZF/,113314,"rhode summer starts now 🐚  hot sandy days, glowy summer skin, and juicy, glazed lips. take your rhode essentials everywhere this summer for refreshing hydration and sun-kissed touches of color.  just in time for the long weekend, get a lip treat on us 🩵 stock up on any two products or one set and receive a peptide lip treatment in a scent of your choice, today through may 27th at 9am PT."
video,https://www.instagram.com/p/DJ6_Eq7RSdr/,84360,what’s in HB’s bag 🩰☕️🍞🍷✨
image,https://www.instagram.com/p/DJ4NydqRZUl/,562389,"the world of rhode is coming to Sephora ✨  “we’re beyond excited to share that rhode’s collection of curated skincare and hybrid makeup is coming to Sephora this fall. from day one, it’s been our dream to bring efficacious, intentional skincare and beauty essentials to as many people as possible. we’re so happy to be partnering with Sephora to help us bring the world of rhode to more people and expand our global community.  thank you to everyone who has supported us along the way, we couldn’t have done this without you! we can’t wait for you to experience all the exciting things we have in store.  see you at Sephora US + @sephoracanada this fall and @sephorauk later this year.” —team rhode 🤍"
video,https://www.instagram.com/p/DJ10yXDxx6M/,11748,@alvaclaire’s go-to rhode combo 🤍  peptide lip shape in balance 🪄 peptide lip tint in toast 🍞 pocket blush in freckle 🐞
image,https://www.instagram.com/p/DJzQaiWpLFE/?img_index=1,118800,rhode phonebook📱
image,https://www.instagram.com/p/DJwrN22JVtH/?img_index=1,111033,"the world of pocket blush now ft. sprinkle 🧁  our core blush collection comes in nine everyday shades to pair effortlessly with any look. it’s a creamy, lightweight formula that melts on smoothly for a long-wearing and hydrating flush of color.  get a little flushed at rhodeskin.com ✨"
image,https://www.instagram.com/p/DJuGsP_pNVS/?img_index=1,39028,"supercharged staple 🧈  barrier butter is a supercharged addition to your skincare routine. our decadent, buttery-smooth balm is packed with 13 efficacious hero ingredients that deeply hydrate skin while smoothing and soothing over time.  swipe to learn about a few of our favorite ingredients 🫶"
video,https://www.instagram.com/p/DJriHHOJYZv/?img_index=1,50831,rhode care with @elisehoogerdijk 🤍 her morning routine with rhode + a few of her favorite daily habits.
image,https://www.instagram.com/p/DJo9rExRNLS/?img_index=1,48216,"sunny days, deep hydration 🧈 why we’re reaching for barrier butter as the weather warms up.  🐚 post-sun moisture: packed with efficacious hydrating ingredients like PGA and murumuru butter to revive dry skin after long days in the sun.  🧴 buttery-smooth body care: use our multipurpose formula all over for rich, radiant moisture. spread it on your décolleté, arms, and legs.  ✨ glowy makeup base: it’s skin prep that starts the night before. use it before bed to wake up with hydrated, glowy skin—the perfect base for lightweight summer makeup."
image,https://www.instagram.com/p/DJmZZeDRNh3/?img_index=1,16316,"flush, shape, tint 🐞 @fallarame’s everyday lip + cheek look.  🍓 pocket blush in date cake 🪄 peptide lip shape in move 🩰 peptide lip tint in ribbon"
image,https://www.instagram.com/p/DJj0Eobp80_/?img_index=1,36261,"the rhode kit feels like… 💭  we develop each of our skincare essentials with lush, dreamy textures and nourishing ingredients to make for a routine you’ll always look forward to. here’s how each step in the rhode kit feels on your skin.  🫧 pineapple refresh is a silky golden balm that melts into lush, foamy bubbles to gently cleanse skin  🥛 glazing milk has an immersive, milky texture that spreads on seamlessly to prep for better skincare application  ✨ peptide glazing fluid is a lightweight, quick-absorbing gel serum that hydrates and brightens skin  ☁️ barrier restore cream feels like rich yet lightweight, creamy goodness that hugs your skin with comforting moisture  comes bundled up in our cushiony-soft bubble bag. only on rhodeskin.com 🫶"
image,https://www.instagram.com/p/DJhPrPSpgoY/,54313,happy mother’s day 💌
image,https://www.instagram.com/p/DJep6nppexk/?img_index=1,15838,"The Support for Moms Fund 🫶  From day one, rhode futures foundation has supported organizations dismantling the barriers that hold women back. As we approach Mother’s Day, we’re excited to announce our latest initiative: the Support for Moms Fund. This new $1 million fund supports organizations that deliver guaranteed income and resources to new mothers, mother-like figures, and caregivers across the U.S.—helping to foster equity and reduce the burden of unpaid care.  With the Support for Moms Fund and our LA Wildfire Relief Fund for Moms + Caregivers, we’re excited to have committed over $2 million so far this year to organizations invested in uplifting mothers. Stay tuned in the coming months as we share more about each impactful organization and the stories of the communities they serve."
image,https://www.instagram.com/p/DJcFF5xpBeT/?img_index=1,60552,"sprinkle is back 🧁  our sweetest shade of pocket blush is here to stay. sprinkle is a creamy, warm pink flush with a pearlescent finish that melts on smoothly and hydrates skin for baby-soft cheeks.  grab yours on rhodeskin.com 🫶✨"
video,https://www.instagram.com/p/DJZgiESpHoX/,39375,"forever sprinkle 🧁  your favorite flush is coming back for good. sprinkle is our pearlescent warm pink pocket blush that we made as a limited edition shade for our new york pop-up last year. we know you’ve been asking us to bring it back, so we’re adding it to our core collection.  see you tomorrow, may 9th at 9am PT. join the waitlist on rhodeskin.com 🎀"
image,https://www.instagram.com/p/DJW7bhzRNvJ/?img_index=1,164488,spritzes + sips 🍸🪽
image,https://www.instagram.com/p/DJUDIH3xqvP/?img_index=1,296714,"getting ready for the gala 🍸  behind the scenes of @haileybieber’s met gala prep ft. glam by @ninapark.  rhode product breakdown: ✨ skin prep with glazing milk, barrier butter + 👀🪽 ✨ pocket blush in sleepy girl ✨ peptide lip shape in balance + twist"
video,https://www.instagram.com/p/DJRxWKRpHSw/,12147,rhode à la plage 🐚 @julietagraciaf  her go-to’s: ✨ glazing milk + barrier butter ✨ pocket blush in plum ✨ peptide lip treatment in salted caramel ✨ rhode mirror  p.s. don’t forget spf!
image,https://www.instagram.com/p/DJPNHX4pyvD/?img_index=1,65516,pocket blush facetime 🐞🍓
image,https://www.instagram.com/p/DJMqfH4J-o0/?img_index=1,253499,a night in miami with rhode 🌴🍯
image,https://www.instagram.com/p/DJKHSlQvkjE/?img_index=1,202022,miami glam 🐚 makeup by @leahdarcymakeup on @haileybieber.  ✨ skin prepped with glazing milk ✨ pocket blush in freckle ✨ peptide lip shape in balance
video,https://www.instagram.com/p/DJIoRg2pzqH/,75347,rhode takes miami 🌴🤍 a night out with @haileybieber and @alexandrasaintmleux.
image,https://www.instagram.com/p/DJHggd1Rurr/?img_index=1,106102,doing rhode things 🪽🌟✨
image,https://www.instagram.com/p/DJE6LabpCiz/?img_index=1,12269,"barrier care two ways 🫶  brc and barrier butter are hydration staples for your daily routine. they each serve a different purpose and you can use them both depending on your skin’s needs. get to know each formula:  ☁️ brc is a comforting daily moisturizer for your morning and evening routine. it’s rich yet lightweight and best for all skin types (normal, dry, combination, oily).  🧈 barrier butter is an intensive moisture balm for your evening routine, but you can use it in the morning if your skin needs deep hydration. it has a decadent, occlusive texture, making it best for normal to dry skin types."
image,https://www.instagram.com/p/DJCU_5opxRp/?img_index=1,27547,"rhode dictionary: skin prep 🥛  hydrating skincare is the perfect foundation for makeup. our skin prep essentials provide dewy moisture to prime skin for better makeup application and create a smooth, glowy base."
image,https://www.instagram.com/p/DI_wRd0J1bm/?img_index=1,48253,"bring the bubble bag with you 🫧  comforting hydration, dreamy textures, and ultimate barrier nourishment. take the rhode kit on your weekend trips and travels away for a curated, effortless routine. ingredients like peptides, ceramides, and polyglutamic acid keep your skin feeling glazed, moisturized, and soothed wherever you go.  grab your kit on rhodeskin.com ☁️"
image,https://www.instagram.com/p/DI9L7eFpk7W/?img_index=1,55370,poolside with the lip tints 👙🧊
image,https://www.instagram.com/p/DI6msWYJfCB/?img_index=1,182126,i spy rhode ☕️🧸🪄
video,https://www.instagram.com/p/DI4B9p_pMpo/?img_index=1,33561,"blush all over 🧸  for a sun-flushed look, apply your go-to shade of pocket blush on the high points of your cheeks, around your hairline, and on the bridge of your nose. we love toasted teddy and sleepy girl to bring warmth to the face."
image,https://www.instagram.com/p/DI1eIGhJ1uP/?img_index=1,51935,"the peptide lip combos 🪄🩰  we love pairing peptide lip shape and peptide lip tint for softly contoured lips and a touch of glossy color. now you can choose your combo with shades of your choice for an effortless, everyday look.  pick your pair. only at rhodeskin.com ✨"
image,https://www.instagram.com/p/DIy40S8PGXe/?img_index=1,62973,"keys, phone, wallet, rhode 🎀"
image,https://www.instagram.com/p/DIwUQ70uby_/?img_index=1,22838,rhode care with @victoriawaldau 🐞🍓 her top habits and go-to skincare steps for spring.
image,https://www.instagram.com/p/DItw64WvRTx/?img_index=1,71361,"feeling peachy 🍹🍑  for a juicy blush and lip look, reach for bright coral and peachy shades. perfect for sunny spring days out and weekends by the pool.  ✨ pocket blush in spicy marg + freckle ✨ peptide lip shape in bend"
image,https://www.instagram.com/p/DIrJkT8pqeW/?img_index=1,20336,"barrier butter tricks 🧈   our intensive moisture balm is a multipurpose formula for your face and body, so you can use it in more ways than one. @maria.calvet shows us how she incorporates it into her spring routine:  ✨ use it to seal in your PM skincare routine + wake up glowy the next morning ✨ wear it with glazing milk as skin prep for a dewy makeup base ✨ apply it all over your body for deep hydration wherever you need it ✨ throw it in your purse and use it as a hand cream on the go ✨ apply a little bit in your AM skincare routine for a radiant finish"
video,https://www.instagram.com/p/DIokfWEJ6Xd/,36326,spring days with @josiejabs + rhode 🌸
image,https://www.instagram.com/p/DImAYdbJis4/?img_index=1,47882,"a little delivery 🧈  mini barrier butter is back. it’s a little size of our decadent, buttery-smooth balm for deep hydration on the go. throw it in your purse for skincare touch-ups, your makeup bag for glowy skin prep, or your suitcase for trips.  get it solo or in the travel set, only on rhodeskin.com ✨"
image,https://www.instagram.com/p/DIjbiIBJZ5c/?img_index=1,290377,our plans this weekend 🛁💭🫧
image,https://www.instagram.com/p/DIg3rwtOmw4/?img_index=1,47387,"rhode day to night 🩰💭 two effortless routines to wake up and go to bed glazed.   AM ✨ glazing milk + peptide glazing fluid to provide all-day hydration and brighten skin ✨ pocket blush + peptide lip shape for a natural flush and softly contoured lips  PM ✨ pineapple refresh to gently wash away spf, makeup, and impurities ✨ glazing milk + barrier butter for intensive moisture and glow when you wake up ✨ peptide lip treatment to nourish, hydrate, and replenish dry lips"
image,https://www.instagram.com/p/DIeTxVxpf_z/?img_index=1,59432,"spring cleaning ☀️🍍💛  pineapple refresh is our balm-to-lather cleanser for every day, month, and season. we especially love it during the spring since it helps gently exfoliate dry and dull skin from the winter and instantly improves hydration levels after rinsing, without leaving a residue.   lather up at rhodeskin.com 🫧"
video,https://www.instagram.com/p/DIbvQzepkrL/,15980,"morning glaze ✨ @hannamw’s 3-step AM rhode routine for deeply hydrated, glowy skin.  🫧 gentle cleanse with pineapple refresh to leave skin feeling clean, soft, and smooth  🥛 skin prep with glazing milk to help calm irritated skin and prep for better skincare application  🧈 deep hydration with barrier butter to help strengthen the skin barrier and give an immediate glow"
image,https://www.instagram.com/p/DIZISlqPIoM/?img_index=1,257182,day to night in the desert with HB 🎀🌵
video,https://www.instagram.com/p/DIW34-RS7iX/,100641,the rhode booth takes the desert with @drink818 + our pbj lip tint 🥜🍓
image,https://www.instagram.com/p/DIT_Popp4oe/,86645,peptides + popsicles 🍧
image,https://www.instagram.com/p/DIRadkNJ9wb/?img_index=1,63741,"warm + toasty 🧸☀️  as the weather warms up, now’s the time to add warm blush and lip shades to your rotation. reach for browns, terracottas, and taupes to mimic the sun-flushed look on your skin. our go-to’s:  ✨ pocket blush in toasted teddy + sleepy girl ✨ peptide lip shape in balance, stretch, flex ✨ peptide lip tint in espresso + toast"
image,https://www.instagram.com/p/DIO2K1NJN5c/?img_index=1,32223,"the glam on + off set 🌟 meet our go-to trio to help prep skin for makeup and wash it off at the end of the day.   🥛 mini glazing milk provides hydration and glow while boosting barrier function over time. apply before makeup or mix with your favorite foundation for a dewy, skin-first base.  🧸 pocket blush wakes up cheeks with a satiny, diffused flush. made with peptides and tamanu oil, it’s a skin-softening formula that hydrates for baby-soft cheeks.  🫧 mini pineapple refresh gently exfoliates skin to remove makeup and SPF at the end of the day. it leaves skin feeling clean, soft, and hydrated post-rinse.  get the set on rhodeskin.com ✨"
image,https://www.instagram.com/p/DIMRr9suj9A/?img_index=1,16340,"rhode futures foundation x LA Wildfire Relief Update  Since the devastating wildfires struck our hometown of Los Angeles, the rhode futures foundation committed $1 million to support local organizations providing emergency cash payments to mothers, caregivers, and families displaced or deeply affected. Throughout January and February, we built on this commitment with an additional 1% of all online and LA pop-up sales going directly to these efforts.  Thanks to the incredible work of our partners, much progress has been made in providing relief and support to thousands of families. As part of our continued relief efforts, we expanded our support to nine additional organizations and worked with beloved local businesses affected by the fires at our LA pop-up.  We’re deeply grateful to our partners for their unwavering dedication to helping LA families recover and to everyone who contributed to this collective effort. Throughout the rest of this year, we’re excited to continue supporting organizations that uplift mothers, caregivers, and families across the U.S."
image,https://www.instagram.com/p/DIJr2adOPQT/?img_index=1,30859,"rhode kit unpacked 💌  four tried-and-true skincare essentials for glazed skin and a nourished barrier, all bundled up in a rhode bubble bag. here’s what’s inside:  🫧 pineapple refresh: gentle balm-to-lather cleanser that removes SPF + makeup while leaving skin hydrated post-rinse  🥛 glazing milk: nutrient-rich essence that provides all-day hydration and preps skin for the rest of your routine  🍯 peptide glazing fluid: dewy gel-serum that hydrates and brightens while visibly plumping skin over time  ☁️ barrier restore cream: rich yet lightweight cream moisturizer to comfort and soothe the skin barrier  start your rhode routine at rhodeskin.com ✨"
video,https://www.instagram.com/p/DIHGvJlJ6ft/?img_index=1,39139,"your spring lip + cheek combos 🐞  🧸 tap pocket blush onto your cheeks for a satiny, diffused flush of color  🪄 glide peptide lip shape along the outline of your lips for a soft-focus, contoured effect  ✨ swipe on peptide lip tint or treatment for nourishing, glossy hydration"
image,https://www.instagram.com/p/DIEiBs9pGaE/?img_index=1,101292,"the pink edit 🍧🌸  we love pink blush and lip shades in the spring for a natural yet fresh everyday look. reach for baby pink or hot pink, depending on how vibrant of a flush you want. our favorite shades:  ✨ pocket blush in piggy + juice box ✨ peptide lip shape in lift + press ✨ peptide lip tint in ribbon"
image,https://www.instagram.com/p/DIB9lhQpoBP/?img_index=1,66661,rhode otw 🪩🩰🪄
image,https://www.instagram.com/p/DH_ZUjYJAKm/?img_index=1,56300,"the glazing milk foundation hack 🥛  our go-to trick for a dewy makeup base. mix a couple drops of glazing milk with your favorite foundation and blend it out with a brush. our lightweight formula keeps skin hydrated all day and blends easily with other products to create a glowy, skin-first finish.  add it to your routine. only on rhodeskin.com 🎀"
image,https://www.instagram.com/p/DH8zt8XOVgP/?img_index=1,84696,🐣🌼🧈🍯🌟
image,https://www.instagram.com/p/DH6OoOspdSr/?img_index=1,41611,"the essential spring blush 🎀  we love a natural, sun-flushed look for spring and pocket blush is our first pick for the season. it combines hydrating, long-wearing color with a fresh, glowy finish. swipe to all the ways we’re wearing it this spring."
image,https://www.instagram.com/p/DH3uP3dJ-qc/?img_index=1,47266,rhode care: spring edition 🍋🫧 our favorite skincare tips for feeling fresh this season.
image,https://www.instagram.com/p/DH1FU-ipknF/?img_index=1,46250,on the go with @courtneygrow 🚕🪄
image,https://www.instagram.com/p/DHygU4npUzQ/?img_index=1,269723,"prep, shape, flush 🎀 makeup by @ninapark on @haileybieber.  ✨ skin prepped with glazing milk 🐞 cheeks flushed with pocket blush in freckle + piggy 🪄 lips shaped with peptide lip shape in balance + lift"
image,https://www.instagram.com/p/DHv9FiGpEce/?img_index=1,19494,"goodbye glam 🍍🫧  pineapple refresh is our gentle PGA cleanser that’s perfect for rinsing away glam at the end of the day. it’s a silky golden balm that melts into lush, foamy bubbles to remove SPF, makeup, and impurities without stripping or drying skin. plus, it’s clinically proven to instantly improve hydration levels after rinsing.  get unready with us at rhodeskin.com 🫶"
video,https://www.instagram.com/p/DHtZVyOJt0L/?img_index=1,31997,"two little flushes 🍇🍓  our new pocket blushes are both in the berry family with slightly different undertones, so you can choose which you like best. plum is a cool purple berry and date cake is a warm red berry.   pocket your fave on rhodeskin.com 🐞"
image,https://www.instagram.com/p/DHq0iLZp7YR/?img_index=1,63857,ringing in spring 🍒🍓
video,https://www.instagram.com/p/DHoNeW-Js-A/,22147,get ready with @evarankiin + rhode 🍇🥜  her everyday spring look: ✨ skin prep with glazing milk + peptide glazing fluid ✨ glazing milk mixed with foundation  ✨ contour stick + freckle pen ✨ pocket blush in plum on the cheeks + lips ✨ peptide lip shape in lean ✨ peptide lip tint in pbj
image,https://www.instagram.com/p/DHloyxkJNzg/?img_index=1,49930,everyday berry 🍓🍇 spring days + nights with our new berry shades of pocket blush and peptide lip tint. get yours on rhodeskin.com 🥜
image,https://www.instagram.com/p/DHjD3SDpD_j/?img_index=1,89012,"the complete collection 🎀  get to know our core collection of blush and lip tint shades, now featuring date cake, plum, and pbj. these everyday touches of color fit effortlessly into any routine and are made with skincare ingredients for added hydration benefits.   get them solo or in a bundle, like our blush set with six shades of your choice or our lip tint set with all five shades together. only on rhodeskin.com ✨"
video,https://www.instagram.com/p/DHgea6zpPKW/,135371,"HB’s go-to shade for spring 🍇  our new pocket blush in plum is HB’s go-to shade for a cool, purple berry flush. for a fresh-faced look, tap on it onto the center of your cheeks, the bridge of your nose, and your lips.   get a little flushed on rhodeskin.com ✨"
image,https://www.instagram.com/p/DHd6KC-pKu0/?img_index=1,49036,"berry shades are here ✨  our new collection of pocket blush and peptide lip tint shades has arrived. wear them all season long for a fresh-faced spring flush.  🍓 date cake: warm red berry 🍇 plum: cool purple berry 🥜 pbj: warm berry brown  get them solo, as duos, or bundled in our lip tint and pocket blush sets. only on rhodeskin.com 🫶"
image,https://www.instagram.com/p/DHbVtrpJkQ1/?img_index=1,94827,"a bite of berry 🍓 our new blushes and lip tint are almost here. they’re our go-to hybrid formulas for a touch of color and hydrating skincare benefits.  🐞pocket blush wakes up cheeks and lips with a satiny, diffused flush and hydrates skin for baby-soft cheeks  🍇peptide lip tint melts onto lips for sheer-but-buildable color and a rich, glossy finish, leaving lips hydrated and visibly plump  see you tomorrow, march 21st at 9am PT. join the waitlist at rhodeskin.com"
image,https://www.instagram.com/p/DHY423bvKcu/?img_index=1,73566,"pbj with a touch of peptide 🍓🥜  peptide lip tint in shade pbj melts onto lips for a hint of warm berry brown and a glossy, high-shine finish. our nourishing formula features skincare ingredients like peptide, shea butter, and vitamin e to replenish dry lips and leave them visibly plump and pillowy-soft.  arriving solo and in our lip tint set with all five shades on march 21st at 9am PT. join the waitlist at rhodeskin.com"
video,https://www.instagram.com/p/DHYy39oplqz/,29178,berry shades + you 🍓🍇  our new spring shades of pocket blush arrive on march 21st at 9am PT. join the waitlist at rhodeskin.com ✨
image,https://www.instagram.com/p/DHWNRZ7yo7n/?img_index=1,69108,"pretty in plum 🍇 why we love pocket blush:  🐞 creamy texture: made with peptides and tamanu oil, our skin-softening formula melts on smoothly  🧸 satiny, buildable color: use your fingers or a brush to tap on a little or a lot—however you like it  🍓 lasts all day: our formula is clinically shown to last at least 8 hours upon application  🥜 pocket-sized: small enough to throw in your purse or pocket and apply on the go  our new spring shades arrive march 21st at 9am PT. join the waitlist at rhodeskin.com"
image,https://www.instagram.com/p/DHWNLgsSq2k/?img_index=1,146695,"shades of spring ✨ get to know our in-season shades of pocket blush and peptide lip tint.  🍓 berry shades with different undertones: plum is a cool purple berry, date cake is a warm red berry, and pbj is a warm berry brown  🥜 fresh-faced color: pocket blush flushes cheeks with satiny, diffused color while lip tint melts on for a glossy hint of tint  🍇 hybrid formulas: our products are made with skincare ingredients like peptide, tamanu oil, and shea butter for added hydration and smoothing benefits  see you march 21st at 9am PT. join the waitlist at rhodeskin.com"
image,https://www.instagram.com/p/DHWL1xMSgKd/?img_index=1,60456,"fresh spring flush 🐞  say hi to spring with our two new blush shades and a new lip tint. they’re perfect for giving your cheeks and lips a fresh-faced, natural flush as the weather warms up.  🍓 date cake: warm red berry 🍇 plum: cool purple berry 🥜 pbj: warm berry brown  both blush shades are in the berry family and have slightly different undertones, so you can choose which you like best. pair them with pbj for a glossy hint of tint on the lips.  our three new shades arrive on march 21st at 9am PT. join the waitlist at rhodeskin.com"
image,https://www.instagram.com/p/DHTnD4-JH5k/?img_index=1,186212,tastes like spring 🍇🍓🥜
video,https://www.instagram.com/p/DHRCe67pKiD/?img_index=1,47680,"from paris, with love 💌"
image,https://www.instagram.com/p/DHOeE_RpCyL/?img_index=1,13602,"deep hydration three ways ✨  when it comes to skincare, there are three key types of hydrating ingredients: humectants, emollients, and occlusives. each one addresses hydration differently, and they work even better when paired together. barrier butter is formulated with all three, making it our most decadently hydrating formula yet.  big barrier butter is back in stock on rhodeskin.com 🧈"
video,https://www.instagram.com/p/DHMDyqtPxe3/,328252,a night in paris with HB 🥐
image,https://www.instagram.com/p/DHJUbOlJpH3/?img_index=1,64367,"rhode dictionary: hybrid makeup 🎀  at rhode, we believe makeup should multitask, adding a natural touch of color while caring for your skin. our hybrid lip and cheek formulas include high-performance skincare ingredients, so every time you apply a flush of color or hint of tint, you’re also getting hydrating and nourishing skin benefits."
image,https://www.instagram.com/p/DHGvaknpehe/?img_index=1,58303,rhode at midnight 🪩
video,https://www.instagram.com/p/DHELDF_Oo8m/,70362,HB’s go-to date night look 🍓🍇  rhode product breakdown ✨ skin prepped with glazing milk + barrier butter ✨ pocket blush for a fresh-faced flush ✨ peptide lip shape in twist to contour the lips
image,https://www.instagram.com/p/DHBl0ANO8gU/?img_index=1,34793,take rhode with you 🪩☕️🩰🪄
video,https://www.instagram.com/p/DG_CkjZS3cD/,171657,"flush, shape, tint 🎀 @alexandrasaintmleux wears pocket blush in piggy, peptide lip shape in lean, and peptide lip tint in raspberry jelly."
image,https://www.instagram.com/p/DG8jkrlvUyD/?img_index=1,20686,late nights with @sarrjamois + rhode 🍸☕️
image,https://www.instagram.com/p/DG5-LmCJ4JX/?img_index=1,67065,"decadent, buttery goodness 🧈✨  barrier butter wraps up your skin in rich, balmy moisture. our formula is clinically proven to improve skin hydration and skin barrier function while supporting a radiant glow and more toned, plump skin over time.  get yours on rhodeskin.com 🫶"
video,https://www.instagram.com/p/DG3ZTyqPrG9/,15150,"butter is back 🧈  your skincare staple has returned. barrier butter is our intensive moisture balm for deep hydration and radiant glow. it’s a clinically-proven formula for your face and body that helps strengthen the skin barrier and deliver multi-level moisture. here’s why it’s become your instant favorite:  🥞 buttery-smooth texture, baby-soft skin: it’s a decadent, occlusive balm that seals in moisture for up to 24 hours to support smoother, more supple skin over time.  🤍 friendly for all skin types: our gentle yet efficacious formula is fragrance-free, non-comedogenic, and has the seal of acceptance™ from the national eczema association.  🥐 year-round essential: it’s perfect for the cooler months when skin needs extra moisture and fits effortlessly into your spring routine. use it before bed, wear it under makeup, apply it all over your body, and so much more.  stock up on rhodeskin.com ✨"
image,https://www.instagram.com/p/DG00P-_OKSZ/?img_index=1,78453,"sugar cookie is here 🩷  the sweetest shimmery pink meets the yummiest sugar cookie scent. our limited edition peptide lip tint in sugar cookie has arrived on rhodeskin.com.  💫 looks like: hot pink gloss with pink and blue shimmers 💫 smells like: a freshly baked sugar cookie 💫 feels like: nourishing glaze that glides on smoothly 💫 made with: shea butter, peptide, and vitamin e 💫 fyi: cruelty-free, vegan, gluten-free, dermatologist-tested  p.s. every order placed through march 7th at 11:59pm PT will receive a rhode sticker sheet on us with any purchase 🪩🎀🍸"
image,https://www.instagram.com/p/DGyPar4ugp4/?img_index=1,159109,"xoxo, rhode 🪩🎀🍸  our limited edition peptide lip tint in sugar cookie got so much love at our LA pop-up! we can’t wait to bring it to all of you tomorrow, march 5th at 9am PT.  plus, surprise stickers on us 🫶 every order placed between march 5th at 9am PT and march 7th at 11:59pm PT will receive a rhode sticker sheet with any purchase."
image,https://www.instagram.com/p/DGwlS-UuYyO/?img_index=1,172886,"last night’s look 🪩 @haileybieber’s vanity fair oscar party glam by @ninapark.  product breakdown ✨ skin prepped with glazing milk, glaze + barrier butter ✨@diorbeauty forever skin correct concealer ✨ @anastasiabeverlyhills brow wiz + brow freeze ✨ @chanel.beauty stylo ombre et contour + les beiges ✨ @charlottetilbury the classic eyeliner ✨ peptide lip shape in balance ✨ pocket blush in… 👀"
video,https://www.instagram.com/p/DGwiTMmOLqF/,149853,getting ready with HB 🎀
image,https://www.instagram.com/p/DGtG43kOPDd/?img_index=1,40268,get ready with @cameliafarhoodi + rhode 🪩  her go-to’s: ✨ skin prep with glazing milk + glaze 🎀 pocket blush in freckle 🪄 lip shape in twist + stretch ☕️ lip tint in toast + espresso
image,https://www.instagram.com/p/DGqf94luih8/?img_index=1,28168,"skin prep favorites 🌟  great glam begins with a base of hydrating and nourishing skincare ingredients. our skincare essentials feature high-performance ingredients like peptides, ceramides, and niacinamide to provide dewy moisture and radiance under makeup. layer with our hybrid lip and cheek formulas for a flush of color, a hint of tint, and added skincare benefits."
image,https://www.instagram.com/p/DGoACbQPrys/?img_index=1,182484,february camera roll 🎀🪩🪄
image,https://www.instagram.com/p/DGlXqrHvboq/?img_index=1,26390,"soft-focus color meets high-performance skincare 🎀  peptide lip shape is formulated with high-performance skincare ingredients to enhance the appearance of lip fullness instantly and over time. whenever you use it to contour your lips with soft-focus color, you’re also applying peptide and fenugreek extract, which help boost softness and give lips a firmer, more voluminous look.  we love layering it with peptide lip tint for an extra layer of glossy, nourishing hydration ✨"
image,https://www.instagram.com/p/DGiySxKJEdr/?img_index=1,27263,finishing touches 🎀 @sandrashehab wears peptide lip shape in stretch + pocket blush in toasted teddy ✨
image,https://www.instagram.com/p/DGgODTAuNgv/?img_index=1,57445,rhode <3 LA 🎀  today is the last day of our los angeles pop-up. it’s been such a treat to meet thousands of you and experience the world of rhode together. we’ve made so many memories 🥹🫶
image,https://www.instagram.com/p/DGdpdCoP1Qd/?img_index=1,59857,"one more day in LA 🎀 thank you to everyone who’s stopped by our los angeles pop-up so far! our last day here is tomorrow, tuesday, february 25th. come say hi and experience peptide lip shape IRL.  what: 🪄 peptide lip shape, tints + treatments ✨ limited edition sugar cookie lip tint 🧸 pocket blush 🥛 all skincare 🪩 rhode mirror + lip case  when: february 19th-25th, from 11am-7pm daily  where: 8483 melrose ave, los angeles, CA 90069  more details in our stories + on rhodeskin.com ✨"
image,https://www.instagram.com/p/DGbBsB1vFnK/?img_index=1,48530,"5 ways to wear peptide lip shape with @bellakrys  🪄 contour with a shade that complements your natural lip tone 🧸 fill in your lips entirely for all-over color 🍞 pair with peptide lip tint for a tinted, glossy finish 🐷 wear with pocket blush in the center of your lips 💫 layer with a precision lip liner for added definition"
video,https://www.instagram.com/p/DGYf9RrPYlm/?img_index=1,137184,rhode after dark 🍸🪩
